epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,174.016,0.79229,0.87639,1.08441,0.91896,0.3728,0.45252,0.33626,1.68748,2.34829,1.50814,2.82082e-05,2.82082e-05,2.82082e-05
40,175.977,0.65262,0.75494,1.06077,0.91896,0.3728,0.45252,0.33626,1.68748,2.34829,1.50814,2.84911e-05,2.84911e-05,2.84911e-05
41,177.908,0.67069,0.8973,1.01464,0.92242,0.37295,0.4522,0.3364,1.70049,2.37521,1.51301,2.87504e-05,2.87504e-05,2.87504e-05
42,179.779,0.54874,1.54624,1.04096,0.92242,0.37295,0.4522,0.3364,1.70049,2.37521,1.51301,2.89861e-05,2.89861e-05,2.89861e-05
43,182.047,1.04078,1.31765,1.31862,0.94065,0.38894,0.45866,0.33978,1.70607,2.37448,1.51971,2.91983e-05,2.91983e-05,2.91983e-05
44,183.923,0.89695,0.89843,1.32337,0.94065,0.38894,0.45866,0.33978,1.70607,2.37448,1.51971,2.93869e-05,2.93869e-05,2.93869e-05
45,186.159,0.60757,0.76423,1.00099,0.94164,0.38893,0.45102,0.33253,1.72656,2.41165,1.52701,2.9552e-05,2.9552e-05,2.9552e-05
46,188.445,0.71665,0.96784,1.15394,0.94164,0.38893,0.45102,0.33253,1.72656,2.41165,1.52701,2.96935e-05,2.96935e-05,2.96935e-05
47,190.776,0.82945,1.68362,1.25226,0.94206,0.39088,0.44892,0.32382,1.73684,2.43323,1.51709,2.98114e-05,2.98114e-05,2.98114e-05
48,193.008,0.92699,1.46214,1.263,0.94206,0.39088,0.44892,0.32382,1.73684,2.43323,1.51709,2.99058e-05,2.99058e-05,2.99058e-05
49,196.212,0.84197,0.93093,1.30115,0.94146,0.3921,0.4508,0.32481,1.77083,2.41326,1.55506,2.99766e-05,2.99766e-05,2.99766e-05
50,201.395,0.66385,1.07958,1.20484,0.94146,0.3921,0.4508,0.32481,1.77083,2.41326,1.55506,3.00238e-05,3.00238e-05,3.00238e-05
51,206.818,0.78056,0.85023,1.14048,0.94253,0.39197,0.44917,0.32386,1.75613,2.40344,1.52874,3.00475e-05,3.00475e-05,3.00475e-05
52,211.436,0.8056,0.86785,1.22219,0.94253,0.39197,0.44917,0.32386,1.75613,2.40344,1.52874,3.00476e-05,3.00476e-05,3.00476e-05
53,216.433,0.65059,0.71558,1.1972,0.94253,0.39197,0.44917,0.32386,1.75613,2.40344,1.52874,3.00242e-05,3.00242e-05,3.00242e-05
54,222.061,0.7723,0.84474,1.23387,0.94403,0.39256,0.42214,0.29938,1.76038,2.40489,1.52733,2.99772e-05,2.99772e-05,2.99772e-05
55,227.466,0.69121,0.89495,1.04382,0.94403,0.39256,0.42214,0.29938,1.76038,2.40489,1.52733,2.99066e-05,2.99066e-05,2.99066e-05
56,233.253,1.17353,1.64365,1.57435,0.94403,0.39256,0.42214,0.29938,1.76038,2.40489,1.52733,2.98125e-05,2.98125e-05,2.98125e-05
57,239.247,1.03626,1.43286,1.36128,0.94657,0.38998,0.42217,0.29388,1.77295,2.44584,1.54373,2.96948e-05,2.96948e-05,2.96948e-05
58,244.588,0.82798,1.3765,1.2705,0.94657,0.38998,0.42217,0.29388,1.77295,2.44584,1.54373,2.95535e-05,2.95535e-05,2.95535e-05
59,250.436,0.75556,0.73276,1.16584,0.94657,0.38998,0.42217,0.29388,1.77295,2.44584,1.54373,2.93887e-05,2.93887e-05,2.93887e-05
60,256.331,0.96007,0.80151,1.49753,0.94548,0.39027,0.42482,0.27485,1.78175,2.42756,1.53875,2.92003e-05,2.92003e-05,2.92003e-05
61,261.951,0.60321,0.69348,1.06491,0.94548,0.39027,0.42482,0.27485,1.78175,2.42756,1.53875,2.89884e-05,2.89884e-05,2.89884e-05
62,266.769,0.70558,0.87297,1.05508,0.94548,0.39027,0.42482,0.27485,1.78175,2.42756,1.53875,2.87529e-05,2.87529e-05,2.87529e-05
63,272.605,0.74947,0.81337,1.14682,0.94629,0.39073,0.42484,0.27396,1.82312,2.47203,1.59287,2.84938e-05,2.84938e-05,2.84938e-05
64,277.26,0.66131,0.6916,1.0837,0.94629,0.39073,0.42484,0.27396,1.82312,2.47203,1.59287,2.82112e-05,2.82112e-05,2.82112e-05
65,282.693,0.58705,0.8333,1.1824,0.94629,0.39073,0.42484,0.27396,1.82312,2.47203,1.59287,2.7905e-05,2.7905e-05,2.7905e-05
66,288.125,0.63763,0.90341,1.08566,0.94565,0.39047,0.42168,0.30777,1.83864,2.5106,1.6062,2.75753e-05,2.75753e-05,2.75753e-05
67,293.474,0.69296,1.03683,1.07201,0.94565,0.39047,0.42168,0.30777,1.83864,2.5106,1.6062,2.7222e-05,2.7222e-05,2.7222e-05
68,299.842,0.93948,1.7309,1.34312,0.94565,0.39047,0.42168,0.30777,1.83864,2.5106,1.6062,2.68451e-05,2.68451e-05,2.68451e-05
69,305.084,0.62435,0.98997,1.1325,0.94555,0.39162,0.42131,0.29256,1.85186,2.50934,1.60336,2.64447e-05,2.64447e-05,2.64447e-05
70,309.421,0.87992,0.87174,1.36052,0.94555,0.39162,0.42131,0.29256,1.85186,2.50934,1.60336,2.60207e-05,2.60207e-05,2.60207e-05
71,313.714,1.00179,1.29506,1.37824,0.94555,0.39162,0.42131,0.29256,1.85186,2.50934,1.60336,2.55731e-05,2.55731e-05,2.55731e-05
72,318.217,0.58387,0.60401,1.04537,0.94726,0.38994,0.42131,0.29252,1.87398,2.56125,1.6272,2.5102e-05,2.5102e-05,2.5102e-05
73,322.53,0.66777,0.87634,1.05316,0.94726,0.38994,0.42131,0.29252,1.87398,2.56125,1.6272,2.46073e-05,2.46073e-05,2.46073e-05
74,326.985,0.66015,0.69125,1.16107,0.94726,0.38994,0.42131,0.29252,1.87398,2.56125,1.6272,2.40891e-05,2.40891e-05,2.40891e-05
75,331.906,0.68908,0.56779,1.12395,0.94657,0.39008,0.42186,0.29268,1.84774,2.52687,1.58561,2.35472e-05,2.35472e-05,2.35472e-05
76,336.768,0.58091,0.84134,1.10143,0.94657,0.39008,0.42186,0.29268,1.84774,2.52687,1.58561,2.29819e-05,2.29819e-05,2.29819e-05
77,341.231,0.61623,0.58838,1.07474,0.94657,0.39008,0.42186,0.29268,1.84774,2.52687,1.58561,2.23929e-05,2.23929e-05,2.23929e-05
78,345.308,0.79063,1.09071,1.1391,0.94581,0.391,0.42141,0.29324,1.81544,2.46494,1.52822,2.17805e-05,2.17805e-05,2.17805e-05
79,349.68,0.58188,0.72232,1.09836,0.94581,0.391,0.42141,0.29324,1.81544,2.46494,1.52822,2.11444e-05,2.11444e-05,2.11444e-05
80,353.672,0.64355,0.78499,1.10605,0.94581,0.391,0.42141,0.29324,1.81544,2.46494,1.52822,2.04848e-05,2.04848e-05,2.04848e-05
81,358.024,0.50909,0.46411,0.98637,0.94019,0.389,0.423,0.29454,1.82311,2.46092,1.53554,1.98016e-05,1.98016e-05,1.98016e-05
82,362.338,0.75113,0.69519,1.15457,0.94019,0.389,0.423,0.29454,1.82311,2.46092,1.53554,1.90949e-05,1.90949e-05,1.90949e-05
83,366.845,0.80211,0.77747,1.1939,0.94019,0.389,0.423,0.29454,1.82311,2.46092,1.53554,1.83646e-05,1.83646e-05,1.83646e-05
84,371.709,0.5932,0.59684,1.02964,0.93803,0.38787,0.42131,0.29352,1.83,2.49299,1.54262,1.76107e-05,1.76107e-05,1.76107e-05
85,376.609,0.62382,0.78822,1.14761,0.93803,0.38787,0.42131,0.29352,1.83,2.49299,1.54262,1.68333e-05,1.68333e-05,1.68333e-05
86,381.627,0.85924,0.84144,1.13925,0.93803,0.38787,0.42131,0.29352,1.83,2.49299,1.54262,1.60323e-05,1.60323e-05,1.60323e-05
87,386.613,0.66302,0.78288,1.01909,0.93803,0.38787,0.42131,0.29352,1.83,2.49299,1.54262,1.52077e-05,1.52077e-05,1.52077e-05
88,392.365,0.78606,0.83963,1.38307,0.9384,0.38717,0.42039,0.29351,1.80717,2.51737,1.51472,1.43596e-05,1.43596e-05,1.43596e-05
89,397.031,1.07728,1.03752,1.51188,0.9384,0.38717,0.42039,0.29351,1.80717,2.51737,1.51472,1.34879e-05,1.34879e-05,1.34879e-05
90,401.344,0.58545,0.64994,0.97908,0.9384,0.38717,0.42039,0.29351,1.80717,2.51737,1.51472,1.25927e-05,1.25927e-05,1.25927e-05
91,405.999,0.52576,0.51125,0.92953,0.9384,0.38717,0.42039,0.29351,1.80717,2.51737,1.51472,1.16739e-05,1.16739e-05,1.16739e-05
92,410.831,0.67588,0.71716,0.95623,0.94473,0.38758,0.42075,0.29222,1.79749,2.57247,1.50018,1.07315e-05,1.07315e-05,1.07315e-05
93,415.408,0.40924,0.47555,0.95486,0.94473,0.38758,0.42075,0.29222,1.79749,2.57247,1.50018,9.76562e-06,9.76562e-06,9.76562e-06
94,419.658,0.54638,0.5346,0.88989,0.94473,0.38758,0.42075,0.29222,1.79749,2.57247,1.50018,8.77613e-06,8.77613e-06,8.77613e-06
95,424.31,0.43544,0.4994,0.93221,0.94473,0.38758,0.42075,0.29222,1.79749,2.57247,1.50018,7.76308e-06,7.76308e-06,7.76308e-06
96,429.241,0.45087,0.48221,0.9736,0.94167,0.38333,0.41875,0.29048,1.8306,2.62221,1.54445,6.72648e-06,6.72648e-06,6.72648e-06
97,433.759,0.67211,0.6958,1.02247,0.94167,0.38333,0.41875,0.29048,1.8306,2.62221,1.54445,5.6663e-06,5.6663e-06,5.6663e-06
98,438.673,0.48277,0.53703,0.9104,0.94167,0.38333,0.41875,0.29048,1.8306,2.62221,1.54445,4.58257e-06,4.58257e-06,4.58257e-06
99,443.46,0.56223,0.61102,0.95616,0.94167,0.38333,0.41875,0.29048,1.8306,2.62221,1.54445,3.47528e-06,3.47528e-06,3.47528e-06
100,449.044,0.46386,0.49207,0.97106,0.94827,0.38162,0.41899,0.29,1.8048,2.66537,1.50567,2.34442e-06,2.34442e-06,2.34442e-06
